asin,brand,category,currency,image_filename,image_url,name,price,product_id,rating,reviews,source,url
B0985MMG9N,(S$12.94S$12.94/count),blush,USD,prod_000000.jpg,https://m.media-amazon.com/images/I/61+aZCMqWrL._AC_UL320_.jpg,"e.l.f. Putty Blush, Creamy & Ultra Pigmented Formula, Infused with Argan Oil & Vitamin E, Caribbean, 0.35 Oz (10g)",$12.94,prod_000000,,4,amazon,https://www.amazon.com/l-f-Pigmented-Formula-Infused-Caribbean/dp/B0985MMG9N/ref=sr_1_1
B09YB9L5QD,(S$3.67S$3.67/gram),blush,USD,prod_000001.jpg,https://m.media-amazon.com/images/I/61z52r8stDL._AC_UL320_.jpg,"Saie Dew Blush - Lightweight, Blendable + Buildable Cream Gel Blush for a Dewy Cheek Tint - Doe Foot Wand Makeup Applicator - Rosy (0.40 oz)",$41.66,prod_000001,,4,amazon,https://www.amazon.com/Saie-Dew-Blush-Lightweight-Applicator/dp/B09YB9L5QD/ref=sr_1_2
B082YPNTZ4,(S$10.35S$10.35/count),blush,USD,prod_000002.jpg,https://m.media-amazon.com/images/I/81FSUbGs2dL._AC_UL320_.jpg,"Wet n Wild Color Icon Blush Powder Makeup, Pinch Me Pink | Matte Natural Glow | Moisturizing Jojoba Oil",$10.35,prod_000002,,4,amazon,https://www.amazon.com/Powder-Makeup-Natural-Moisturizing-Jojoba/dp/B082YPNTZ4/ref=sr_1_3
B0FPQ5H4VM,(S$1.98S$1.98/gram(s)),blush,USD,prod_000003.jpg,https://m.media-amazon.com/images/I/71ulgRkAGwL._AC_UL320_.jpg,"TIMEPHORIA Liquid Blush Makeup for Cheeks, Natural Matte Finish, Blush Tint Stick, Multi-Use, Long-Lasting Lip & Cheek Makeup, Lightweight (05 FIERY FLAME)",$9.90,prod_000003,,4,amazon,https://www.amazon.com/TIMEPHORIA-Natural-Multi-Use-Long-Lasting-Lightweight/dp/B0FPQ5H4VM/ref=sr_1_4
B0947CYBHW,(S$1.26S$1.26/gram),blush,USD,prod_000004.jpg,https://m.media-amazon.com/images/I/41z3J8w4XgL._AC_UL320_.jpg,"e.l.f. Putty Blush, Creamy & Ultra Pigmented Blush For Natural Glow, Infused with Argan Oil & Vitamin E, Vegan & Cruelty-Free, Tahiti, 0.35 Oz",$12.62,prod_000004,,4,amazon,https://www.amazon.com/l-f-Pigmented-Natural-Infused-Cruelty-Free/dp/B0947CYBHW/ref=sr_1_5
B01N5MWPAG,(S$13.38S$13.38/count),blush,USD,prod_000005.jpg,https://m.media-amazon.com/images/I/81tJ9uNjnAL._AC_UL320_.jpg,"Wet & Wild Makeup Stick Blush 803 Floral Majority, 3.5 Ounce",$13.38,prod_000005,,4,amazon,https://www.amazon.com/Makeup-Stick-Blush-Floral-Majority/dp/B01N5MWPAG/ref=sr_1_6_mod_primary_new
B0CN9FZWMF,(S$107.62S$107.62/ounce),blush,USD,prod_000006.jpg,https://m.media-amazon.com/images/I/61we-H2GuBL._AC_UL320_.jpg,KIKO Milano Velvet Touch Creamy Stick Blush 07 | Blush Stick: Creamy Texture with Luminous Finish,$37.99,prod_000006,,4,amazon,https://www.amazon.com/Milano-Velvet-Touch-Creamy-Stick/dp/B0CN9FZWMF/ref=sr_1_7_mod_primary_new
B0DM2522RZ,(S$1.63S$1.63/gram),blush,USD,prod_000007.jpg,https://m.media-amazon.com/images/I/61MOmDUcEkL._AC_UL320_.jpg,"Pixi On-the-Glow Blush - CheekTone, pH Reactive Hydrating Tinted Moisture Blush Stick with Ginseng, Aloe Vera & Fruit Extracts, For Cheeks & Lips, 19g / 0.6oz, Paraben-Free",$31.00,prod_000007,,",",amazon,https://www.amazon.com/Pixi-Glow-Blush-CheekTone-Paraben-Free/dp/B0DM2522RZ/ref=sr_1_8
B06XDZCHX1,(S$100.00S$100.00/ounce),blush,USD,prod_000008.jpg,https://m.media-amazon.com/images/I/81b7v0f5KQL._AC_UL320_.jpg,"Maybelline Fit Me Powder Blush, Lightweight, Smooth, Blendable, Long-lasting All-Day Face Enhancing Makeup Color, Berry, 1 Count",$16.00,prod_000008,,4,amazon,https://www.amazon.com/Maybelline-Lightweight-Blendable-Long-lasting-Enhancing/dp/B06XDZCHX1/ref=sr_1_9
B08T7FGVXD,(S$36.09S$36.09/ounce),blush,USD,prod_000009.jpg,https://m.media-amazon.com/images/I/61wsldYUIvL._AC_UL320_.jpg,"e.l.f. Putty Blush, Creamy & Ultra Pigmented Formula, Infused with Argan Oil & Vitamin E, Bali, 0.35 Oz (10g)",$12.63,prod_000009,,4,amazon,https://www.amazon.com/l-f-Pigmented-Formula-Infused-Vitamin/dp/B08T7FGVXD/ref=sr_1_10
