2026-04-29 15:25:02 | api | INFO | get_engine:49 | Initializing GlamSearchEngine...
2026-04-29 15:25:02 | api | ERROR | search_by_image:134 | Search by image failed: GlamSearchEngine.search_by_image() got an unexpected keyword argument 'k'
2026-04-29 15:25:09 | api | ERROR | search_by_image:134 | Search by image failed: GlamSearchEngine.search_by_image() got an unexpected keyword argument 'k'
2026-04-29 15:26:50 | api | INFO | get_engine:49 | Initializing GlamSearchEngine...
2026-04-29 15:27:47 | api | INFO | get_engine:49 | Initializing GlamSearchEngine...
2026-04-29 15:38:26 | api | INFO | get_engine:49 | Initializing GlamSearchEngine...
2026-04-29 15:54:17 | api | INFO | get_engine:49 | Initializing GlamSearchEngine...
2026-04-29 16:03:10 | api | INFO | get_engine:49 | Initializing GlamSearchEngine...
2026-04-29 16:03:27 | api | INFO | get_engine:49 | Initializing GlamSearchEngine...
2026-04-29 16:05:59 | api | INFO | get_engine:49 | Initializing GlamSearchEngine...
2026-04-29 16:10:11 | api | INFO | search_by_image:128 | File read: 0.00s
2026-04-29 16:10:11 | api | INFO | search_by_image:132 | Image decode: 0.04s
2026-04-29 16:10:11 | api | INFO | get_engine:50 | Initializing GlamSearchEngine...
2026-04-29 16:10:11 | api | INFO | search_by_image:136 | Engine load: 0.00s
2026-04-29 16:12:19 | api | INFO | get_engine:50 | Initializing GlamSearchEngine...
2026-04-29 16:13:37 | api | INFO | get_engine:50 | Initializing GlamSearchEngine...
2026-04-29 16:14:29 | api | INFO | search_by_text:176 | Engine load: 0.00s
2026-04-29 16:15:39 | api | INFO | startup_event:47 | API startup: pre-warming CLIP model...
2026-04-29 16:17:57 | api | INFO | get_engine:50 | Initializing GlamSearchEngine...
2026-04-29 16:20:47 | api | INFO | get_engine:50 | Initializing GlamSearchEngine...
2026-04-29 16:21:30 | api | INFO | search_by_image:128 | File read: 0.00s
2026-04-29 16:21:30 | api | INFO | search_by_image:132 | Image decode: 0.62s
2026-04-29 16:21:30 | api | INFO | search_by_image:136 | Engine load: 0.00s
2026-04-29 16:21:30 | api | INFO | search_by_image:139 | Starting embedder...
2026-04-29 16:21:46 | api | INFO | search_by_image:128 | File read: 0.00s
2026-04-29 16:21:46 | api | INFO | search_by_image:132 | Image decode: 0.49s
2026-04-29 16:21:46 | api | INFO | get_engine:50 | Initializing GlamSearchEngine...
2026-04-29 16:21:46 | api | INFO | search_by_image:136 | Engine load: 0.00s
2026-04-29 16:21:46 | api | INFO | search_by_image:139 | Starting embedder...
2026-04-29 16:22:42 | api | INFO | get_engine:50 | Initializing GlamSearchEngine...
2026-04-29 16:24:18 | api | INFO | search_by_image:128 | File read: 0.00s
2026-04-29 16:24:18 | api | INFO | search_by_image:132 | Image decode: 0.43s
2026-04-29 16:24:18 | api | INFO | search_by_image:136 | Engine load: 0.00s
2026-04-29 16:24:18 | api | INFO | search_by_image:139 | Starting embedder...
2026-04-29 16:25:07 | api | INFO | get_engine:50 | Initializing GlamSearchEngine...
2026-04-29 16:27:19 | api | INFO | search_by_image:128 | File read: 0.00s
2026-04-29 16:27:20 | api | INFO | search_by_image:132 | Image decode: 1.15s
2026-04-29 16:27:20 | api | INFO | search_by_image:136 | Engine load: 0.00s
2026-04-29 16:27:20 | api | INFO | search_by_image:139 | Starting embedder...
2026-04-29 16:28:12 | api | INFO | get_engine:50 | Initializing GlamSearchEngine...
2026-04-29 16:28:53 | api | INFO | get_engine:50 | Initializing GlamSearchEngine...
2026-04-29 16:29:17 | api | INFO | search_by_image:128 | File read: 0.00s
2026-04-29 16:29:18 | api | INFO | search_by_image:132 | Image decode: 0.52s
2026-04-29 16:29:18 | api | INFO | search_by_image:136 | Engine load: 0.00s
2026-04-29 16:29:18 | api | INFO | search_by_image:139 | Starting embedder...
2026-04-29 16:31:55 | api | INFO | get_engine:50 | Initializing GlamSearchEngine...
2026-04-29 16:33:18 | api | INFO | search_by_image:128 | File read: 0.00s
2026-04-29 16:33:18 | api | INFO | search_by_image:132 | Image decode: 0.48s
2026-04-29 16:33:18 | api | INFO | search_by_image:136 | Engine load: 0.00s
2026-04-29 16:33:18 | api | INFO | search_by_image:139 | Starting embedder...
2026-04-29 16:34:18 | api | INFO | startup_embedder:62 | Pre-loading CLIP embedder at startup...
2026-04-29 16:34:55 | api | INFO | startup_embedder:69 | Pre-loading CLIP embedder at startup...
2026-04-29 16:34:58 | api | INFO | startup_embedder:78 | ✅ Embedder loaded successfully at startup
2026-04-29 16:35:17 | api | INFO | get_engine:57 | Initializing GlamSearchEngine...
2026-04-29 16:36:01 | api | INFO | search_by_image:159 | File read: 0.00s
2026-04-29 16:36:01 | api | INFO | search_by_image:163 | Image decode: 0.30s
2026-04-29 16:36:01 | api | INFO | search_by_image:167 | Engine load: 0.00s
2026-04-29 16:36:01 | api | INFO | search_by_image:170 | Starting embedder...
2026-04-29 16:36:21 | api | INFO | startup_embedder:70 | Pre-loading CLIP embedder at startup...
2026-04-29 16:36:25 | api | INFO | startup_embedder:79 | ✅ Embedder loaded successfully at startup
2026-04-29 16:36:30 | api | INFO | get_engine:58 | Initializing GlamSearchEngine...
2026-04-29 16:37:20 | api | INFO | search_by_image:160 | File read: 0.00s
2026-04-29 16:37:20 | api | INFO | search_by_image:164 | Image decode: 0.48s
2026-04-29 16:37:20 | api | INFO | search_by_image:168 | Engine load: 0.00s
2026-04-29 16:37:20 | api | INFO | search_by_image:171 | Starting embedder...
2026-04-29 16:37:25 | api | INFO | search_by_image:173 | Embedder + search: 4.23s
2026-04-29 16:38:28 | api | INFO | search_by_image:160 | File read: 0.00s
2026-04-29 16:38:28 | api | INFO | search_by_image:164 | Image decode: 0.02s
2026-04-29 16:38:28 | api | INFO | search_by_image:168 | Engine load: 0.00s
