2026-04-29 15:38:26 | search | INFO | _load:79 | Search engine ready: 399 products
2026-04-29 15:54:17 | search | INFO | _load:79 | Search engine ready: 399 products
2026-04-29 16:12:19 | search | INFO | _load:79 | Search engine ready: 399 products
2026-04-29 16:13:37 | search | INFO | _load:80 | Search engine ready: 399 products
2026-04-29 16:17:57 | search | INFO | _load:80 | Search engine ready: 399 products
2026-04-29 16:20:47 | search | INFO | _load:80 | Search engine ready: 399 products
2026-04-29 16:22:42 | search | INFO | _load:80 | Search engine ready: 399 products
2026-04-29 16:25:07 | search | INFO | _load:80 | Search engine ready: 399 products
2026-04-29 16:28:12 | search | INFO | _load:80 | Search engine ready: 399 products
2026-04-29 16:28:53 | search | INFO | _load:80 | Search engine ready: 399 products
2026-04-29 16:31:55 | search | INFO | _load:80 | Search engine ready: 399 products
2026-04-29 16:35:17 | search | INFO | _load:80 | Search engine ready: 399 products
2026-04-29 16:36:05 | search | INFO | search_by_image:134 | Embedder loaded: 3.75s
2026-04-29 16:36:05 | search | INFO | search_by_image:141 | Image embedding: 0.24s
2026-04-29 16:36:31 | search | INFO | _load:80 | Search engine ready: 399 products
2026-04-29 16:37:24 | search | INFO | search_by_image:134 | Embedder loaded: 3.90s
2026-04-29 16:37:24 | search | INFO | search_by_image:141 | Image embedding: 0.25s
2026-04-29 16:37:25 | search | INFO | search_by_image:145 | FAISS query: 0.08s
2026-04-29 16:38:28 | search | INFO | search_by_image:134 | Embedder loaded: 0.00s
2026-04-29 16:38:29 | search | INFO | search_by_image:141 | Image embedding: 1.03s
2026-04-29 16:38:29 | search | INFO | search_by_image:145 | FAISS query: 0.01s
2026-04-29 16:38:50 | search | INFO | search_by_image:134 | Embedder loaded: 0.00s
2026-04-29 16:38:51 | search | INFO | search_by_image:141 | Image embedding: 0.22s
2026-04-29 16:38:51 | search | INFO | search_by_image:145 | FAISS query: 0.00s
2026-04-29 16:39:59 | search | INFO | search_by_image:134 | Embedder loaded: 0.00s
2026-04-29 16:40:01 | search | INFO | search_by_image:141 | Image embedding: 2.54s
